actor,type,bankability_score,film_count
Inaamulhaq,actor,1.7299,1
Ishita Dutta,actor,1.7299,1
Mohan Joshi,actor,1.7299,1
Raghu Ram,actor,1.7299,1
Paakhi A. Tyrewala,actor,1.7299,1
Mallika Sherawat,actor,1.7298,3
Rakhee Gulzar,actor,1.7297,2
Omung Kumar,director,1.7294,4
Sunny Singh Nijjar,actor,1.7294,5
Kundan Shah,director,1.7293,2
Vatsal Sheth,actor,1.7292,2
Soumik Sen,director,1.7289,2
Mithun Chakraborty,actor,1.7285,6
Rambha,actor,1.7281,2
Ashutosh Rana,actor,1.728,3
Shashi Kapoor,actor,1.7277,3
Manmohan Desai,director,1.7277,2
Sagar Ballary,director,1.7275,2
Gautami Kapoor,actor,1.7274,1
Riya Sen,actor,1.7273,2
Kajol,actor,1.7268,14
Vijay Raaz,actor,1.7265,2
Kajal Aggarwal,actor,1.7264,2
Vidyut Jammwal,actor,1.7263,3
Uday Chopra,actor,1.7259,4
J.P. Dutta,director,1.7257,3
Vivek Agnihotri,director,1.7257,6
Adah Sharma,actor,1.7255,3
Radhika Madan,actor,1.7253,2
Tusshar Kapoor,actor,1.7252,10
Dulquer Salmaan,actor,1.7251,2
Meena Kumari,actor,1.7247,1
O.P. Ralhan,director,1.7247,1
Shashikala,actor,1.7247,1
Deepak S. Shivdasani,director,1.7247,2
Snighdadeep Chatterji,actor,1.7247,1
P. Vasu,director,1.7247,1
